MMM,3
LNC,Lincoln Nationa
LIN,Lind
LYV,Live Nation Entertainmen
LKQ,LKQ Corporatio
LMT,Lockheed Marti
L,Loews Corporatio
LOW,Lowe'
LUMN,Lumen Technologie
LYB,LyondellBasel
MTB,M&T Ban
MRO,Marathon Oi
MPC,Marathon Petroleu
MKTX,MarketAxes
MAR,Marriott Internationa
MMC,Marsh & McLenna
MLM,Martin Marietta Material
MAS,Masc
MA,Mastercar
MTCH,Match Grou
MKC,McCormick & Compan
MCD,McDonald'
MCK,McKesson Corporatio
MDT,Medtroni
MRK,Merc
FB,Meta Platform
MET,MetLif
MTD,Mettler Toled
MGM,MGM Resorts Internationa
MCHP,Microchip Technolog
MU,Micron Technolog
MSFT,Microsof
MAA,Mid-America Apartment
MRNA,Modern
MHK,Mohawk Industrie
TAP,Molson Coor
MDLZ,Mondelez Internationa
MPWR,Monolithic Power System
MNST,Monster Beverag
MCO,Moody'
MS,Morgan Stanle
MOS,The Mosaic Compan
MSI,Motorola Solution
MSCI,MSC
NDAQ,Nasda
NTAP,NetAp
NFLX,Netfli
NWL,Newell Brand
NEM,Newmon
NWSA,News Corp (Class A
NWS,News Corp (Class B
NEE,NextEra Energ
NLSN,Nielsen Holding
NKE,Nik
NI,NiSourc
NSC,Norfolk Souther
NTRS,Northern Trus
NOC,Northrop Grumma
NLOK,NortonLifeLoc
NCLH,Norwegian Cruise Line Holding
NRG,NRG Energ
NUE,Nuco
NVDA,Nvidi
NVR,NV
NXPI,NX
ORLY,O'Reilly Automotiv
OXY,Occidental Petroleu
ODFL,Old Dominion Freight Lin
OMC,Omnicom Grou
OKE,Oneo
ORCL,Oracl
OGN,Organon & Co
OTIS,Otis Worldwid
PCAR,Pacca
PKG,Packaging Corporation of Americ
PH,Parker-Hannifi
PAYX,Payche
PAYC,Payco
PYPL,PayPa
PENN,Penn National Gamin
PNR,Pentai
PBCT,People's United Financia
PEP,PepsiC
PKI,PerkinElme
PFE,Pfize
PM,Philip Morris Internationa
PSX,Phillips 6
PNW,Pinnacle West Capita
PXD,Pioneer Natural Resource
PNC,PNC Financial Service
POOL,Pool Corporatio
PPG,PPG Industrie
PPL,PP
PFG,Principal Financial Grou
PG,Procter & Gambl
PGR,Progressive Corporatio
PLD,Prologi
PRU,Prudential Financia
PEG,PSE
PTC,PT
PSA,Public Storag
PHM,PulteGrou
PVH,PV
QRVO,Qorv
PWR,Quanta Service
QCOM,Qualcom
DGX,Quest Diagnostic
RL,Ralph Lauren Corporatio
RJF,Raymond James Financia
RTX,Raytheon Technologie
O,Realty Income Corporatio
REG,Regency Center
REGN,Regeneron Pharmaceutical
RF,Regions Financial Corporatio
RSG,Republic Service
RMD,ResMe
RHI,Robert Half Internationa
ROK,Rockwell Automatio
ROL,Rollin
ROP,Roper Technologie
ROST,Ross Store
RCL,Royal Caribbean Grou
SPGI,S&P Globa
CRM,Salesforc
SBAC,SBA Communication
SLB,Schlumberge
STX,Seagate Technolog
SEE,Sealed Ai
SRE,Sempra Energ
NOW,ServiceNo
SHW,Sherwin-William
SBNY,Signature Ban
SPG,Simon Property Grou
SWKS,Skyworks Solution
SNA,Snap-o
SEDG,SolarEdg
SO,Southern Compan
LUV,Southwest Airline
SWK,Stanley Black & Decke
SBUX,Starbuck
STT,State Street Corporatio
STE,Steri
SYK,Stryker Corporatio
SIVB,SVB Financia
SYF,Synchrony Financia
SNPS,Synopsy
SYY,Sysc
TMUS,T-Mobile U
TROW,T. Rowe Pric
TTWO,Take-Two Interactiv
TPR,Tapestr
TGT,Targe
TEL,TE Connectivit
TDY,Teledyne Technologie
TFX,Telefle
TER,Teradyn
TSLA,Tesl
TXN,Texas Instrument
TXT,Textro
TMO,Thermo Fisher Scientifi
TJX,TJX Companie
TSCO,Tractor Supply Compan
TT,Trane Technologie
TDG,TransDigm Grou
TRV,The Travelers Companie
TRMB,Trimbl
TFC,Truist Financia
TWTR,Twitte
TYL,Tyler Technologie
TSN,Tyson Food
UDR,UD
ULTA,Ulta Beaut
USB,U.S. Bancor
UAA,Under Armour (Class A
UA,Under Armour (Class C
UNP,Union Pacifi
UAL,United Airline
UNH,UnitedHealth Grou
UPS,United Parcel Servic
URI,United Rental
UHS,Universal Health Service
VLO,Valero Energ
VTR,Venta
VRSN,Verisig
VRSK,Verisk Analytic
VZ,Verizon Communication
VRTX,Vertex Pharmaceutical
VFC,VF Corporatio
VIAC,ViacomCB
VTRS,Viatri
V,Vis
VNO,Vornado Realty Trus
VMC,Vulcan Material
WRB,W. R. Berkley Corporatio
WAB,Wabte
WMT,Walmar
WBA,Walgreens Boots Allianc
DIS,The Walt Disney Compan
WM,Waste Managemen
WAT,Waters Corporatio
WEC,WEC Energy Grou
WFC,Wells Farg
WELL,Welltowe
WST,West Pharmaceutical Service
WDC,Western Digita
WRK,WestRoc
WY,Weyerhaeuse
WHR,Whirlpool Corporatio
WMB,Williams Companie
WTW,Willis Towers Watso
WYNN,Wynn Resort
XEL,Xcel Energ
XLNX,Xilin
XYL,Xyle
YUM,Yum! Brand
ZBRA,Zebra Technologie
ZBH,Zimmer Biome
ZION,Zions Bancor
ZTS,Zoeti
